address	original_name	display_name	name_source	class	bucket	route_source	path	src_chunk
80298b30	zz_0298b30_	zz_0298b30_	generated		game-unsorted	symbol-or-address	game/unsorted/80298b30_zz_0298b30.c	chunk_0077.c
80298b40	zz_0298b40_	zz_0298b40_	generated		game-unsorted	symbol-or-address	game/unsorted/80298b40_zz_0298b40.c	chunk_0077.c
80298b50	zz_0298b50_	zz_0298b50_	generated		game-unsorted	symbol-or-address	game/unsorted/80298b50_zz_0298b50.c	chunk_0077.c
80298b60	zz_0298b60_	movement-physics_candidate_80298b60	evidence-index		movement-physics	evidence-topic	game/physics/movement/80298b60_movement-physics_candidate_80298b60.c	chunk_0077.c
80298bc4	zz_0298bc4_	zz_0298bc4_	generated		game-unsorted	symbol-or-address	game/unsorted/80298bc4_zz_0298bc4.c	chunk_0077.c
80298c10	zz_0298c10_	zz_0298c10_	generated		game-unsorted	symbol-or-address	game/unsorted/80298c10_zz_0298c10.c	chunk_0077.c
80298c30	zz_0298c30_	zz_0298c30_	generated		game-unsorted	symbol-or-address	game/unsorted/80298c30_zz_0298c30.c	chunk_0077.c
80298c84	zz_0298c84_	zz_0298c84_	generated		game-unsorted	symbol-or-address	game/unsorted/80298c84_zz_0298c84.c	chunk_0077.c
80298d18	zz_0298d18_	zz_0298d18_	generated		game-unsorted	symbol-or-address	game/unsorted/80298d18_zz_0298d18.c	chunk_0077.c
80298d28	zz_0298d28_	zz_0298d28_	generated		game-unsorted	symbol-or-address	game/unsorted/80298d28_zz_0298d28.c	chunk_0077.c
80298d38	zz_0298d38_	zz_0298d38_	generated		game-unsorted	symbol-or-address	game/unsorted/80298d38_zz_0298d38.c	chunk_0077.c
80298d94	zz_0298d94_	zz_0298d94_	generated		game-unsorted	symbol-or-address	game/unsorted/80298d94_zz_0298d94.c	chunk_0077.c
80298df8	zz_0298df8_	movement-physics_candidate_80298df8	evidence-index		movement-physics	evidence-topic	game/physics/movement/80298df8_movement-physics_candidate_80298df8.c	chunk_0077.c
80299044	zz_0299044_	movement-physics_candidate_80299044	evidence-index		movement-physics	evidence-topic	game/physics/movement/80299044_movement-physics_candidate_80299044.c	chunk_0077.c
80299180	zz_0299180_	zz_0299180_	generated		game-unsorted	symbol-or-address	game/unsorted/80299180_zz_0299180.c	chunk_0077.c
802992ec	zz_02992ec_	zz_02992ec_	generated		game-unsorted	symbol-or-address	game/unsorted/802992ec_zz_02992ec.c	chunk_0077.c
80299458	zz_0299458_	zz_0299458_	generated		game-unsorted	symbol-or-address	game/unsorted/80299458_zz_0299458.c	chunk_0077.c
8029948c	zz_029948c_	zz_029948c_	generated		game-unsorted	symbol-or-address	game/unsorted/8029948c_zz_029948c.c	chunk_0077.c
802994c0	zz_02994c0_	zz_02994c0_	generated		game-unsorted	symbol-or-address	game/unsorted/802994c0_zz_02994c0.c	chunk_0077.c
80299678	zz_0299678_	zz_0299678_	generated		game-unsorted	symbol-or-address	game/unsorted/80299678_zz_0299678.c	chunk_0077.c
80299744	zz_0299744_	challenge-menu-flow_candidate_80299744	evidence-index		challenge-menu-flow	evidence-topic	game/modes/challenge/80299744_challenge-menu-flow_candidate_80299744.c	chunk_0077.c
80299da4	zz_0299da4_	zz_0299da4_	generated		game-unsorted	symbol-or-address	game/unsorted/80299da4_zz_0299da4.c	chunk_0077.c
80299da8	zz_0299da8_	zz_0299da8_	generated		game-unsorted	symbol-or-address	game/unsorted/80299da8_zz_0299da8.c	chunk_0077.c
80299e64	zz_0299e64_	zz_0299e64_	generated		game-unsorted	symbol-or-address	game/unsorted/80299e64_zz_0299e64.c	chunk_0077.c
80299f0c	zz_0299f0c_	zz_0299f0c_	generated		game-unsorted	symbol-or-address	game/unsorted/80299f0c_zz_0299f0c.c	chunk_0077.c
80299f8c	zz_0299f8c_	zz_0299f8c_	generated		game-unsorted	symbol-or-address	game/unsorted/80299f8c_zz_0299f8c.c	chunk_0077.c
80299fe4	zz_0299fe4_	zz_0299fe4_	generated		game-unsorted	symbol-or-address	game/unsorted/80299fe4_zz_0299fe4.c	chunk_0077.c
8029a03c	zz_029a03c_	zz_029a03c_	generated		game-unsorted	symbol-or-address	game/unsorted/8029a03c_zz_029a03c.c	chunk_0077.c
8029a06c	zz_029a06c_	zz_029a06c_	generated		game-unsorted	symbol-or-address	game/unsorted/8029a06c_zz_029a06c.c	chunk_0077.c
8029a0c8	zz_029a0c8_	zz_029a0c8_	generated		game-unsorted	symbol-or-address	game/unsorted/8029a0c8_zz_029a0c8.c	chunk_0077.c
8029a0fc	zz_029a0fc_	zz_029a0fc_	generated		game-unsorted	symbol-or-address	game/unsorted/8029a0fc_zz_029a0fc.c	chunk_0077.c
8029a124	zz_029a124_	zz_029a124_	generated		game-unsorted	symbol-or-address	game/unsorted/8029a124_zz_029a124.c	chunk_0077.c
8029a738	zz_029a738_	zz_029a738_	generated		game-unsorted	symbol-or-address	game/unsorted/8029a738_zz_029a738.c	chunk_0077.c
8029a78c	zz_029a78c_	force-setup_candidate_8029a78c	evidence-index		force-setup	evidence-topic	game/battle/force-setup/8029a78c_force-setup_candidate_8029a78c.c	chunk_0077.c
8029a838	zz_029a838_	force-setup_candidate_8029a838	evidence-index		force-setup	evidence-topic	game/battle/force-setup/8029a838_force-setup_candidate_8029a838.c	chunk_0077.c
8029a928	zz_029a928_	zz_029a928_	generated		game-unsorted	symbol-or-address	game/unsorted/8029a928_zz_029a928.c	chunk_0077.c
8029aa40	zz_029aa40_	zz_029aa40_	generated		game-unsorted	symbol-or-address	game/unsorted/8029aa40_zz_029aa40.c	chunk_0077.c
8029aa54	zz_029aa54_	zz_029aa54_	generated		game-unsorted	symbol-or-address	game/unsorted/8029aa54_zz_029aa54.c	chunk_0077.c
8029aa70	InstallCallStackDumper(void)	InstallCallStackDumper(void)	symbol		game-unsorted	symbol-or-address	game/unsorted/8029aa70_InstallCallStackDumper_void.c	chunk_0077.c
8029aa9c	zz_029aa9c_	zz_029aa9c_	generated		game-unsorted	symbol-or-address	game/unsorted/8029aa9c_zz_029aa9c.c	chunk_0077.c
8029aac8	zz_029aac8_	zz_029aac8_	generated		game-unsorted	symbol-or-address	game/unsorted/8029aac8_zz_029aac8.c	chunk_0077.c
8029aaf4	zz_029aaf4_	movement-physics_candidate_8029aaf4	evidence-index		movement-physics	evidence-topic	game/physics/movement/8029aaf4_movement-physics_candidate_8029aaf4.c	chunk_0077.c
8029ab20	zz_029ab20_	knockback-targeting_candidate_8029ab20	evidence-index		knockback-targeting	evidence-topic	game/combat/knockback/8029ab20_knockback-targeting_candidate_8029ab20.c	chunk_0077.c
8029abec	zz_029abec_	movement-physics_candidate_8029abec	evidence-index		movement-physics	evidence-topic	game/physics/movement/8029abec_movement-physics_candidate_8029abec.c	chunk_0077.c
